M,quantity,formula_value,solver_value,gd_value,rel_disc_solver,rel_disc_gd,bound_lower,bound_upper,within_bounds,note
0,m = log((1-delta)/delta),2.9444389791664403,2.9444389791664403,,0.0,,,,,delta=0.05 => m = log 19
0,r(T_m) = 1/(1+e^m) = delta,0.05,0.05000000000000001,,1.3877787807814457e-16,,,,,margin target expressed as residual
0,"torch autograd vs analytic gradient (max rel, M=64, 8 pts)",0.0,1.1492412615029513e-15,,1.1492412615029513e-15,,,,,"validates (5.2): adot=r, vdot=br, betadot_j=vr"
1,GD raw |q(T_m) - m| at N=1000 (h=6.023e-03),0.0,0.0008310275156810931,,0.0008310275156810931,,,,,explicit-Euler discretization error; must fall ~10x per row
1,GD raw |q(T_m) - m| at N=10000 (h=6.023e-04),0.0,8.309351541146981e-05,,8.309351541146981e-05,,,,,explicit-Euler discretization error; must fall ~10x per row
1,GD raw |q(T_m) - m| at N=100000 (h=6.023e-05),0.0,8.30925950490169e-06,,8.30925950490169e-06,,,,,explicit-Euler discretization error; must fall ~10x per row
1,GD raw |q(T_m) - m| at N=1000000 (h=6.023e-06),0.0,8.309251207094803e-07,,8.309251207094803e-07,,,,,explicit-Euler discretization error; must fall ~10x per row
1,GD observed convergence order (finest pair),1.0,1.0000004336961121,,4.3369611213428527e-07,,,,,log10 of the error ratio for a 10x step reduction; 1.0 = first order
1,"GD: torch-autograd vs numpy analytic-grad (max rel over a,v,b,q)",0.0,0.0,,0.0,,,,,N=10000; independent gradient path through the literal 2-site model
1,a(T_m),1.0269467087727866,1.0269467087728084,1.0269474847937885,2.1189387040985766e-14,7.556584925715411e-07,,1.4722194895832201,OK,(5.6) 0 < a_M <= m/(M+1)
1,v(T_m),1.5753125404351649,1.5753125404351644,1.5753122442188299,2.8190546221855583e-16,1.8803654983560937e-07,,,,(5.3) v = cosh(sqrt(M) a)
1,b(T_m),1.2172138678360072,1.2172138678359938,1.217214131569595,1.0945222238707534e-14,2.1666988425488875e-07,,,,(5.3) b = sqrt(M) sinh(sqrt(M) a)
1,q(T_m),2.9444389791664403,2.9444389791664403,2.944439810091561,0.0,2.822015081951918e-07,,,,(5.4) q = Q_M(a); target margin m
1,r(T_m),0.05,0.05000000000000001,0.04999996053107154,1.3877787807814457e-16,7.89378569315824e-07,,,,r = 1/(1+e^q) = delta at q = m
